inspection_date,year,month,month_name,day,day_name,quarter
03/09/2017,2017,3,March,9,Thursday,1
08/01/2019,2019,8,August,1,Thursday,3
01/31/2017,2017,1,January,31,Tuesday,1
07/09/2019,2019,7,July,9,Tuesday,3
12/21/2016,2016,12,December,21,Wednesday,4
02/22/2018,2018,2,February,22,Thursday,1
07/27/2016,2016,7,July,27,Wednesday,3
08/29/2016,2016,8,August,29,Monday,3
09/02/2017,2017,9,September,2,Saturday,3
01/24/2017,2017,1,January,24,Tuesday,1
09/14/2018,2018,9,September,14,Friday,3
07/31/2018,2018,7,July,31,Tuesday,3
10/02/2019,2019,10,October,2,Wednesday,4
10/12/2019,2019,10,October,12,Saturday,4
08/17/2017,2017,8,August,17,Thursday,3
03/26/2019,2019,3,March,26,Tuesday,1
02/13/2018,2018,2,February,13,Tuesday,1
04/11/2019,2019,4,April,11,Thursday,2
05/07/2018,2018,5,May,7,Monday,2
06/01/2019,2019,6,June,1,Saturday,2
05/15/2018,2018,5,May,15,Tuesday,2
04/20/2019,2019,4,April,20,Saturday,2
10/31/2018,2018,10,October,31,Wednesday,4
05/29/2018,2018,5,May,29,Tuesday,2
08/04/2016,2016,8,August,4,Thursday,3
05/10/2018,2018,5,May,10,Thursday,2
07/30/2018,2018,7,July,30,Monday,3
03/01/2018,2018,3,March,1,Thursday,1
08/04/2017,2017,8,August,4,Friday,3
10/26/2017,2017,10,October,26,Thursday,4
07/25/2017,2017,7,July,25,Tuesday,3
05/26/2017,2017,5,May,26,Friday,2
10/19/2015,2015,10,October,19,Monday,4
02/28/2017,2017,2,February,28,Tuesday,1
01/09/2017,2017,1,January,9,Monday,1
05/13/2016,2016,5,May,13,Friday,2
06/29/2016,2016,6,June,29,Wednesday,2
07/14/2016,2016,7,July,14,Thursday,3
04/29/2016,2016,4,April,29,Friday,2
03/23/2016,2016,3,March,23,Wednesday,1
07/02/2016,2016,7,July,2,Saturday,3
07/03/2018,2018,7,July,3,Tuesday,3
08/01/2018,2018,8,August,1,Wednesday,3
06/04/2019,2019,6,June,4,Tuesday,2
09/09/2016,2016,9,September,9,Friday,3
01/11/2020,2020,1,January,11,Saturday,1
05/04/2016,2016,5,May,4,Wednesday,2
05/20/2018,2018,5,May,20,Sunday,2
08/27/2016,2016,8,August,27,Saturday,3
04/21/2017,2017,4,April,21,Friday,2
09/28/2018,2018,9,September,28,Friday,3
10/19/2016,2016,10,October,19,Wednesday,4
06/16/2019,2019,6,June,16,Sunday,2
01/07/2015,2015,1,January,7,Wednesday,1
09/02/2019,2019,9,September,2,Monday,3
12/28/2019,2019,12,December,28,Saturday,4
04/07/2018,2018,4,April,7,Saturday,2
02/29/2016,2016,2,February,29,Monday,1
11/30/2019,2019,11,November,30,Saturday,4
07/10/2019,2019,7,July,10,Wednesday,3
08/16/2017,2017,8,August,16,Wednesday,3
08/27/2018,2018,8,August,27,Monday,3
01/24/2020,2020,1,January,24,Friday,1
09/20/2017,2017,9,September,20,Wednesday,3
07/18/2016,2016,7,July,18,Monday,3
01/19/2016,2016,1,January,19,Tuesday,1
08/08/2017,2017,8,August,8,Tuesday,3
09/03/2016,2016,9,September,3,Saturday,3
06/04/2018,2018,6,June,4,Monday,2
02/25/2020,2020,2,February,25,Tuesday,1
01/23/2019,2019,1,January,23,Wednesday,1
03/28/2016,2016,3,March,28,Monday,1
07/01/2020,2020,7,July,1,Wednesday,3
04/25/2019,2019,4,April,25,Thursday,2
05/08/2018,2018,5,May,8,Tuesday,2
11/22/2017,2017,11,November,22,Wednesday,4
11/01/2017,2017,11,November,1,Wednesday,4
11/21/2016,2016,11,November,21,Monday,4
06/16/2018,2018,6,June,16,Saturday,2
02/26/2016,2016,2,February,26,Friday,1
07/27/2018,2018,7,July,27,Friday,3
12/19/2017,2017,12,December,19,Tuesday,4
05/07/2017,2017,5,May,7,Sunday,2
04/30/2019,2019,4,April,30,Tuesday,2
03/16/2020,2020,3,March,16,Monday,1
03/13/2017,2017,3,March,13,Monday,1
10/19/2017,2017,10,October,19,Thursday,4
07/13/2016,2016,7,July,13,Wednesday,3
05/11/2017,2017,5,May,11,Thursday,2
09/05/2018,2018,9,September,5,Wednesday,3
01/25/2019,2019,1,January,25,Friday,1
05/21/2016,2016,5,May,21,Saturday,2
03/10/2019,2019,3,March,10,Sunday,1
03/29/2017,2017,3,March,29,Wednesday,1
03/21/2017,2017,3,March,21,Tuesday,1
02/09/2017,2017,2,February,9,Thursday,1
04/08/2017,2017,4,April,8,Saturday,2
07/06/2018,2018,7,July,6,Friday,3
07/14/2018,2018,7,July,14,Saturday,3
06/26/2019,2019,6,June,26,Wednesday,2
02/03/2016,2016,2,February,3,Wednesday,1
08/24/2017,2017,8,August,24,Thursday,3
08/10/2016,2016,8,August,10,Wednesday,3
10/10/2019,2019,10,October,10,Thursday,4
07/07/2018,2018,7,July,7,Saturday,3
04/08/2019,2019,4,April,8,Monday,2
01/12/2018,2018,1,January,12,Friday,1
