id_geography,zipcode,id_borough,building,street,latitude,longitude
19627,10029,1,1280,5 AVENUE,40.79629757504,-73.949613226314
4744,11215,3,262,4 AVENUE,40.676240555956,-73.983845236743
6056,11201,3,395,FLATBUSH AVENUE EXTENSION,40.689815842146,-73.98140434252
6626,11435,4,147-01,LIBERTY AVENUE,40.696199622634,-73.804458000825
5508,11238,3,903,FULTON STREET,40.683554571653,-73.96719655849
16072,10036,1,1535,BROADWAY,40.75825992874,-73.985467647469
846,10305,5,1115,HYLAN BOULEVARD,40.598563936756,-74.079894487388
16455,11369,4,9017,31ST AVE,40.76004084826,-73.878348704814
2255,11219,3,1305,53 STREET,40.632547395415,-73.994051777664
9458,11375,4,13,STATION SQUARE,40.719208052264,-73.845100981906
3069,11220,3,5223,5 AVENUE,40.643800563168,-74.01165342693
5705,11434,4,11414,SUTPHIN BOULEVARD,40.685860198436,-73.793592009741
12333,11004,4,26805,HILLSIDE AVENUE,40.738915701818,-73.700928057808
14269,10016,1,7,EAST   36 STREET,40.749506564548,-73.983098353126
4343,11216,3,806,NOSTRAND AVENUE,40.671133908499,-73.950393077128
21008,10452,2,86,EAST  167 STREET,40.8351955943,-73.919773279133
742,11223,3,2556,CONEY ISLAND AVENUE,40.594632654194,-73.960928302463
2259,11204,3,4602,16 AVENUE,40.63262326755,-73.983866644365
19955,10454,2,613,EAST  138 STREET,40.806128690929,-73.915838604999
20131,10027,1,1268,AMSTERDAM AVENUE,40.810944195356,-73.958051719524
11121,10012,1,95,MACDOUGAL STREET,40.729391434692,-74.001006647563
0,null,1,3739,CLINTON STREET,0,0
17131,11358,4,3715,FRANCIS LEWIS BOULEVARD,40.762655128399,-73.785505235418
3122,11203,3,5722,CLARENDON ROAD,40.644856426709,-73.922561485745
16818,11354,4,3712,MAIN ST,40.761358818125,-73.831039869992
22263,10034,1,4926,BROADWAY,40.867494224968,-73.921726346618
8486,11211,3,289,MANHATTAN AVENUE,40.713739031606,-73.945978491045
5912,11217,3,590,FULTON STREET,40.688083458079,-73.97890960556
830,11214,3,8774B,BAY PARKWAY,40.598295353666,-73.997608972912
22023,10468,2,2467,GRAND CONCOURSE,40.86172225875,-73.897543430151
7534,11385,4,6402,68TH AVE,40.705765163664,-73.894299911482
8754,10013,1,28,BOWERY,40.714970389858,-73.99686167325
9582,10013,1,164,MULBERRY STREET,40.719823145948,-73.997092326151
12742,10011,1,75,9 AVENUE,40.741869040229,-74.004713006739
2452,11236,3,7911,FLATLANDS AVENUE,40.635119978114,-73.913886137614
5499,11233,3,435,HALSEY STREET,40.683447848897,-73.935593869677
15342,10017,1,6,EAST   45 STREET,40.75521225579,-73.979061523713
13991,11372,4,86-13,ROOSEVELT AVENUE,40.748053420927,-73.879958671614
17113,10065,1,1164,1 AVENUE,40.762579543827,-73.959789761872
10549,11432,4,80-02,SURREY PLACE,40.726357353477,-73.789446892002
9043,11249,3,212,BEDFORD AVENUE,40.716906302465,-73.958727994707
